都道府県コード,都道府県名,値(冊/年度),調査年,出典
01,北海道,20077714,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
02,青森県,3573857,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
03,岩手県,4740288,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
04,宮城県,7773468,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
05,秋田県,2639857,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
06,山形県,4062278,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
07,福島県,5870142,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
08,茨城県,13927941,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
09,栃木県,10085936,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
10,群馬県,9236534,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
11,埼玉県,39284588,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
12,千葉県,31151125,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
13,東京都,104056650,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
14,神奈川県,33851911,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
15,新潟県,10425505,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
16,富山県,5352289,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
17,石川県,6524644,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
18,福井県,5153616,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
19,山梨県,4824955,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
20,長野県,11734217,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
21,岐阜県,10033718,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
22,静岡県,21370621,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
23,愛知県,42221676,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
24,三重県,8737218,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
25,滋賀県,10981654,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
26,京都府,14133862,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
27,大阪府,57042013,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
28,兵庫県,31300083,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
29,奈良県,6926797,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
30,和歌山県,4102436,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
31,鳥取県,3562482,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
32,島根県,3443256,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
33,岡山県,11415529,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
34,広島県,14543532,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
35,山口県,9265971,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
36,徳島県,3899796,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
37,香川県,6125804,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
38,愛媛県,6002233,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
39,高知県,2509476,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
40,福岡県,24559877,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
41,佐賀県,4602668,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
42,長崎県,6078331,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
43,熊本県,5798237,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
44,大分県,4383805,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
45,宮崎県,3456857,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
46,鹿児島県,6152361,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)
47,沖縄県,5159454,2014,社会教育調査 図書館貸出冊数(総数)(e-Stat 0003348634)