都道府県コード,都道府県名,値(人),調査年,出典
01,北海道,239.8,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
02,青森県,270.9,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
03,岩手県,312.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
04,宮城県,195.9,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
05,秋田県,351.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
06,山形県,274.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
07,福島県,266.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
08,茨城県,184.7,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
09,栃木県,204.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
10,群馬県,218.7,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
11,埼玉県,142.3,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
12,千葉県,138.3,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
13,東京都,68.8,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
14,神奈川県,121.3,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
15,新潟県,222.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
16,富山県,256.0,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
17,石川県,285.2,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
18,福井県,249.7,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
19,山梨県,314.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
20,長野県,260.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
21,岐阜県,232.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
22,静岡県,190.4,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
23,愛知県,156.2,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
24,三重県,233.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
25,滋賀県,231.2,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
26,京都府,216.7,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
27,大阪府,144.9,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
28,兵庫県,178.4,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
29,奈良県,226.7,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
30,和歌山県,293.7,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
31,鳥取県,302.8,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
32,島根県,342.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
33,岡山県,233.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
34,広島県,208.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
35,山口県,283.3,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
36,徳島県,287.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
37,香川県,233.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
38,愛媛県,280.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
39,高知県,350.8,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
40,福岡県,173.7,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
41,佐賀県,265.3,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
42,長崎県,269.5,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
43,熊本県,235.8,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
44,大分県,266.2,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
45,宮崎県,235.6,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
46,鹿児島県,265.8,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)
47,沖縄県,131.2,2023,社会・人口統計体系 民生委員(児童委員)数(人口10万人あたり)(e-Stat 0000010210 #J05101)